Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,22pF,
"C10, C12",0402,2,.1uf,
"C11, C9",0402,2,1uf,
"C3, C8",0402,2,100nF,
"C4, C5",0402,2,47pf,
C6,0402,1,100n,
C7,0402,1,4.7u,
D1,LED_D5.0mm,1,LED,
D2,0402,1,LED,
"D3, D4, D5, D6, D7, D8",DIOMELF5124N,6,ZMM5V1,
F1,FUSER_MF-MSMF200-2,1,MF-MSMF200-2,
J1,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J10,PinHeader_2x04_P2.54mm_Vertical_Yellow,1,Port B,
J11,PinHeader_2x04_P2.54mm_Vertical_Blue,1,Port C,
J12,PinHeader_2x04_P2.54mm_Vertical_White,1,Port D,
"J13, J14, J15, J16, J4",PinHeader_1x03_P2.54mm_Vertical,5,Conn_01x03,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J3,USB_A_TE_292303-7_Horizontal,1,USB_A,
"J5, J6",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
J7,USB_Mini-B_Lumberg_2486_01_Horizontal,1,USB_OTG,
J8,PinHeader_2x04_P2.54mm_Vertical_Red,1,Port A,
J9,PinHeader_2x04_P2.54mm_Vertical_Green,1,Port E,
"R1, R17, R19, R20, R21, TH1",0402,6,10K,
"R10, R11, R12, R13, R14, R4, R6, R7, R8, R9",0402,10,220,
R15,0402,1,100,
R16,0402,1,1k,
R18,0402,1,100k,
"R2, R3",0402,2,27,
R5,0402,1,33,
"RN1, RN2, RN3, RN4, RN5, RN6, RN7",R_Array_Convex_4x0603,7,220,
TP1,TestPoint_Pad_D2.5mm,1,TestPoint,
U1,AMPHENOL_DILB40P-223TLF,1,PIC18F4620,
U2,SOT-23,1,LM4040DBZ-4.1,
U3,SSOP-16_3.9x4.9mm_P0.635mm,1,FT230XS,
Y1,XTAL_HC49P488W43L1085T450H368,1,8 MHz,
