Designator,Mid X,Mid Y,Rotation,Layer
C1,107.0,-108.02,270.0,top
C10,134.5,-90.5,90.0,top
C11,133.44,-90.5,90.0,top
C12,112.0,-95.52,90.0,top
C2,104.0,-108.02,270.0,top
C3,110.77,-128.49,180.0,top
C4,121.52,-128.49,180.0,top
C5,124.52,-128.49,0.0,top
C6,110.77,-129.74,0.0,top
C7,113.75,-129.26,90.0,top
C8,118.5,-127.02,90.0,top
C9,111.0,-95.52,90.0,top
D2,110.0,-114.755,90.0,top
D3,138.515,-82.0,180.0,top
D4,138.515,-77.67,180.0,top
D5,138.515,-73.34,180.0,top
D6,138.515,-69.01,180.0,top
D7,160.5,-70.985,90.0,top
D8,164.83,-70.985,90.0,top
F1,129.9,-122.0,180.0,top
J1,152.275,-93.085,0.0,top
J10,174.775,-127.44,0.0,top
J11,174.775,-103.18,0.0,top
J12,174.775,-115.22,0.0,top
J13,139.5,-104.525,0.0,top
J14,158.0,-136.0,0.0,top
J2,103.5,-84.65,0.0,top
J3,141.0,-133.0,0.0,top
J4,110.0,-71.685,0.0,top
J5,110.5,-88.735,0.0,top
J6,121.275,-122.0,90.0,top
J7,122.5,-135.0,0.0,top
J8,174.775,-79.22,0.0,top
J9,174.775,-91.22,0.0,top
R1,106.5,-79.49,90.0,top
R10,168.99,-81.0,0.0,top
R11,145.5,-69.53,0.0,top
R12,145.5,-71.52,0.0,top
R13,145.5,-73.51,0.0,top
R14,145.5,-75.5,0.0,top
R15,169.03,-91.643334,0.0,top
R16,169.03,-92.676667,0.0,top
R17,169.03,-93.71,0.0,top
R18,169.03,-94.743334,0.0,top
R19,153.51,-133.5,0.0,top
R2,124.0,-126.0,90.0,top
R20,153.51,-136.01,0.0,top
R21,153.51,-138.5,0.0,top
R3,122.0,-126.0,90.0,top
R4,104.0,-110.23,90.0,top
R5,109.51,-77.75,0.0,top
R6,112.5,-76.49,270.0,top
R7,168.99,-75.03,0.0,top
R8,168.99,-77.02,0.0,top
R9,168.99,-79.01,0.0,top
RN1,169.03,-88.51,90.0,top
RN2,169.0,-124.01,90.0,top
RN3,169.0,-130.76,90.0,top
RN4,169.0,-100.3,90.0,top
RN5,169.1,-106.3,90.0,top
RN6,169.1,-112.34,90.0,top
RN7,169.1,-118.34,90.0,top
TH1,109.49,-84.24,0.0,top
U1,122.0925,-93.11,0.0,top
U2,110.0625,-81.0,180.0,top
U3,110.0,-124.24,180.0,top
Y1,106.0,-104.0,0.0,top
